Gen	Fish X	Fish Y	Dx	Dy	Action
0	59.0	63.0	-1.0	0.0	3
0	59.0	62.0	3.0	-2.0	3
0	57.0	65.0	2.0	-1.0	3
0	56.0	67.0	2.0	2.0	3
0	58.0	69.0	-1.0	2.0	-1
0	60.0	68.0	-1.0	-2.0	-1
0	58.0	67.0	0.0	1.0	3
0	59.0	67.0	-1.0	-2.0	-1
0	57.0	66.0	3.0	-2.0	3
0	55.0	69.0	-3.0	1.0	-1
0	56.0	66.0	2.0	-2.0	3
0	54.0	68.0	2.0	3.0	3
0	57.0	70.0	3.0	-1.0	3
0	56.0	73.0	0.0	1.0	3
0	57.0	73.0	1.0	-2.0	3
0	55.0	74.0	1.0	0.0	3
0	55.0	75.0	3.0	2.0	3
0	57.0	78.0	0.0	-2.0	-1
0	55.0	78.0	2.0	1.0	3
0	56.0	80.0	-2.0	-2.0	-1
0	54.0	78.0	0.0	1.0	3
0	55.0	78.0	-2.0	2.0	-1
0	57.0	76.0	3.0	3.0	3
0	60.0	79.0	0.0	3.0	3
0	63.0	79.0	1.0	2.0	3
0	65.0	80.0	-1.0	3.0	3
0	68.0	79.0	0.0	2.0	3
0	70.0	79.0	0.0	1.0	3
0	71.0	79.0	-3.0	-2.0	-1
0	69.0	76.0	-2.0	2.0	-1
0	71.0	74.0	-3.0	-1.0	-1
0	70.0	71.0	1.0	-1.0	3
0	69.0	72.0	0.0	2.0	3
0	71.0	72.0	3.0	-2.0	3
0	69.0	75.0	3.0	0.0	3
0	69.0	78.0	1.0	-2.0	3
0	67.0	79.0	-2.0	-3.0	-1
0	64.0	77.0	3.0	-2.0	3
0	62.0	80.0	-3.0	0.0	-1
0	62.0	77.0	3.0	0.0	3
0	62.0	80.0	0.0	3.0	3
0	65.0	80.0	-1.0	-3.0	-1
0	62.0	79.0	-3.0	0.0	-1
0	62.0	76.0	-2.0	-3.0	-1
0	59.0	74.0	-1.0	-2.0	-1
0	57.0	73.0	-3.0	3.0	-1
0	60.0	70.0	-1.0	-3.0	-1
0	57.0	69.0	-3.0	-3.0	-1
0	54.0	66.0	2.0	0.0	3
0	54.0	68.0	1.0	3.0	3
0	57.0	69.0	0.0	3.0	3
0	60.0	69.0	-1.0	-3.0	-1
0	57.0	68.0	0.0	-3.0	-1
0	54.0	68.0	1.0	-2.0	3
0	52.0	69.0	-1.0	-1.0	-1
0	51.0	68.0	3.0	-2.0	3
0	49.0	71.0	0.0	-3.0	-1
0	46.0	71.0	3.0	-2.0	3
0	44.0	74.0	3.0	3.0	3
0	47.0	77.0	-3.0	3.0	-1
0	50.0	74.0	1.0	2.0	3
0	52.0	75.0	-3.0	3.0	-1
0	55.0	72.0	-2.0	0.0	-1
0	55.0	70.0	3.0	3.0	3
0	58.0	73.0	0.0	-1.0	-1
0	57.0	73.0	0.0	3.0	3
0	60.0	73.0	-1.0	-3.0	-1
0	57.0	72.0	2.0	2.0	3
0	59.0	74.0	1.0	-2.0	3
0	57.0	75.0	3.0	3.0	3
0	60.0	78.0	3.0	0.0	3
0	60.0	81.0	0.0	3.0	3
0	63.0	81.0	1.0	-2.0	3
0	61.0	82.0	-2.0	3.0	-1
0	64.0	80.0	-2.0	-2.0	-1
0	62.0	78.0	-2.0	3.0	-1
0	65.0	76.0	-1.0	-3.0	-1
0	62.0	75.0	-3.0	-1.0	-1
0	61.0	72.0	-3.0	-1.0	-1
0	60.0	69.0	0.0	3.0	3
0	63.0	69.0	-3.0	-1.0	-1
0	62.0	66.0	1.0	-3.0	-1
0	59.0	67.0	3.0	0.0	3
0	59.0	70.0	-3.0	3.0	-1
0	62.0	67.0	3.0	3.0	3
0	65.0	70.0	-2.0	2.0	-1
0	67.0	68.0	-3.0	-1.0	-1
0	66.0	65.0	3.0	-3.0	3
0	63.0	68.0	-1.0	0.0	-1
0	63.0	67.0	1.0	3.0	3
0	66.0	68.0	-1.0	0.0	-1
0	66.0	67.0	2.0	1.0	3
0	67.0	69.0	2.0	2.0	3
0	69.0	71.0	-3.0	0.0	-1
0	69.0	68.0	-2.0	-2.0	-1
0	67.0	66.0	3.0	3.0	3
0	70.0	69.0	1.0	1.0	3
0	71.0	70.0	-1.0	-1.0	-1
0	70.0	69.0	-2.0	3.0	-1
0	73.0	67.0	-3.0	-1.0	-1
0	72.0	64.0	-1.0	-3.0	-1
0	69.0	63.0	-2.0	2.0	-1
0	71.0	61.0	-2.0	-3.0	-1
0	68.0	59.0	-1.0	1.0	-1
0	69.0	58.0	-1.0	2.0	-1
0	71.0	57.0	-1.0	0.0	-1
0	71.0	56.0	1.0	0.0	3
0	71.0	57.0	1.0	-2.0	3
0	69.0	58.0	3.0	-2.0	3
0	67.0	61.0	3.0	-2.0	3
0	65.0	64.0	1.0	-1.0	3
0	64.0	65.0	0.0	-1.0	-1
0	63.0	65.0	2.0	-1.0	3
0	62.0	67.0	0.0	3.0	3
0	65.0	67.0	-3.0	-1.0	-1
0	64.0	64.0	2.0	-1.0	3
0	63.0	66.0	-1.0	0.0	-1
0	63.0	65.0	0.0	2.0	3
0	65.0	65.0	-1.0	2.0	-1
0	67.0	64.0	-2.0	-2.0	-1
0	65.0	62.0	-2.0	2.0	-1
0	67.0	60.0	0.0	-1.0	-1
0	66.0	60.0	3.0	-2.0	3
0	64.0	63.0	1.0	3.0	3
0	67.0	64.0	3.0	-3.0	3
0	64.0	67.0	-3.0	3.0	-1
0	67.0	64.0	-1.0	3.0	-1
0	70.0	63.0	3.0	-1.0	3
0	69.0	66.0	2.0	-1.0	3
0	68.0	68.0	3.0	3.0	3
0	71.0	71.0	1.0	2.0	3
0	73.0	72.0	0.0	2.0	3
0	75.0	72.0	3.0	1.0	3
0	76.0	75.0	3.0	-1.0	3
0	75.0	78.0	3.0	-3.0	3
0	72.0	81.0	0.0	-1.0	-1
0	71.0	81.0	-2.0	2.0	-1
0	73.0	79.0	-3.0	1.0	-1
0	74.0	76.0	-3.0	2.0	-1
0	76.0	73.0	3.0	2.0	3
0	78.0	76.0	1.0	3.0	3
0	81.0	77.0	1.0	-3.0	3
0	78.0	78.0	-2.0	-3.0	-1
0	75.0	76.0	1.0	1.0	3
0	76.0	77.0	-2.0	-1.0	-1
0	75.0	75.0	-2.0	2.0	-1
0	77.0	73.0	-1.0	1.0	-1
0	78.0	72.0	1.0	-1.0	3
0	77.0	73.0	-3.0	-1.0	-1
0	76.0	70.0	-2.0	-3.0	-1
0	73.0	68.0	-3.0	2.0	-1
0	75.0	65.0	2.0	3.0	3
0	78.0	67.0	1.0	-2.0	3
0	76.0	68.0	0.0	-1.0	-1
0	75.0	68.0	-1.0	-1.0	-1
