uid	Health	acquariumType	age	alive	ancestors	birth	color	deathNum	fishInVision	foodInVision	generation	hitbox	lenX	lenY	lookingBounds	parent	showVision	uid	visionValueFront	visionValueLeft	visionValueRight	x	y
29830	200	Fish	2159	True		46811	(148, 23, 34)	15000	[24459, 25674, 49481]	[50908, 28675, 36068, 42315, 45716, 39494, 47216, 15655, 10958, 15689, 39393, 6773, 35335, 59769, 28902, 7100, 59723, 25924, 7536, 17406, 43077]	1	(498, 279, 60, 60)	60	60	(438, 219, 618, 399)		True	29830	60	10	10	498	279
47825	250	Fish	7612	True	29830,	48983	(120, 3, 148)	15000	[12625, 19389, 4823, 57474]	[28675, 36068, 42315, 42961, 45716, 39494, 47216, 15655, 10958, 19633, 39393, 6773, 35335, 28902, 7100, 59723, 25924, 7536, 17406, 43077, 54547, 56950, 43472, 61513, 6625, 28328, 35317, 48161, 1993, 6622, 52060, 55494, 6795, 23660, 55107, 62563, 47349, 35945, 4227, 21625]	2	(498, 298, 60, 60)	60	60	(438, 238, 618, 418)	29830	True	47825	60	10	10	498	298
25393	250	Fish	3361	True	29830,47825,	56607	(27, 0, 226)	15000	[36981, 62442]	[28675, 36068, 42315, 45716, 39494, 47216, 15655, 10958, 15689, 23450, 39393, 6773, 43761, 966, 42842, 6806, 59769, 37299, 28902, 7100, 29822, 20473, 59723, 25924, 17406, 43077, 54547, 56950, 43472, 18375, 55910, 61513, 14816, 23605, 6625, 28328, 48161, 2484, 6622, 52060, 23660, 55107, 62563, 53067, 47349, 35945, 4227, 41708, 21625]	3	(518, 250, 60, 60)	60	60	(458, 190, 638, 370)	47825	True	25393	60	10	10	518	250
42205	250	Fish	1766	True	29830,47825,25393,	59978	(71, 251, 111)	15000	[41686, 757, 27355]	[28675, 36068, 42315, 45716, 39494, 47216, 15655, 10958, 15689, 23450, 39393, 6773, 43761, 966, 35335, 6806, 59769, 37299, 28902, 7100, 29822, 20473, 59723, 25924, 7536, 17406, 43077, 54547, 56950, 43472, 55910, 61513, 23605, 6625, 28328, 35317, 48161, 2484, 6622, 52060, 23660, 55107, 62563, 53067, 47349, 35945, 4227, 21625]	4	(509, 271, 60, 60)	60	60	(449, 211, 629, 391)	25393	True	42205	60	10	10	509	271
48291	125	Fish	945	True		55650	(131, 32, 57)	15000	[]	[57824, 29661, 49948, 39995, 32968, 3230, 33416, 30414, 3915, 190, 31723, 6980, 14726, 11620, 33805, 27873, 36079, 60381]	1	(136, 527, 60, 60)	60	60	(76, 467, 256, 647)		True	48291	60	10	10	136	527
28496	250	Fish	3361	True	48291,	56607	(49, 20, 58)	15000	[]	[57824, 29661, 38199, 51499, 49948, 39995, 7553, 29925, 32968, 3230, 30584, 30414, 3915, 190, 27392, 37405, 788, 33805, 1993, 55494, 14751, 10064, 36079]	2	(204, 549, 60, 60)	60	60	(144, 489, 324, 669)	48291	True	28496	60	10	10	204	549
29200	250	Fish	1766	True	48291,28496,	59978	(5, 79, 230)	15000	[]	[57824, 29661, 49948, 39995, 29925, 32968, 3230, 30584, 30414, 3915, 190, 27392, 788, 33805, 14751, 10064, 36079, 60381]	3	(176, 543, 60, 60)	60	60	(116, 483, 296, 663)	28496	True	29200	60	10	10	176	543
44088	125	Fish	2159	True		46811	(5, 197, 127)	15000	[25674, 29830]	[50908, 28675, 36068, 38717, 4540, 15689, 6773, 51274, 19460, 59769, 8418, 12202, 37299, 44921, 51481, 32770, 25924, 17406, 43077]	1	(411, 171, 60, 60)	60	60	(351, 111, 531, 291)		True	44088	60	10	10	411	171
10465	175	Fish	7612	True	44088,	48983	(172, 36, 163)	15000	[12625, 47825, 19389, 57474, 55909]	[28675, 36068, 42315, 38717, 57153, 15689, 6773, 51274, 37299, 7100, 27392, 25924, 17406, 43077, 54547, 56950, 43472, 55910, 14816, 37405, 23605, 6625, 30125, 28328, 6622, 52060, 55494, 6795, 23660, 39190, 26977, 47349, 4227]	2	(401, 239, 60, 60)	60	60	(341, 179, 521, 359)	44088	True	10465	60	10	10	401	239
20418	225	Fish	3361	True	44088,10465,	56607	(123, 48, 72)	15000	[25393, 36981, 49267, 38324, 62442]	[28675, 36068, 15689, 6773, 51274, 8418, 12202, 37299, 44921, 7100, 32770, 25924, 17406, 43077, 32547, 55910, 50915, 14816, 13903, 23605, 6625, 40848, 6622, 52060, 6795, 23660, 39190, 26977, 47349, 4227]	3	(399, 204, 60, 60)	60	60	(339, 144, 519, 324)	10465	True	20418	60	10	10	399	204
49519	225	Fish	1766	True	44088,10465,20418,	59978	(12, 23, 210)	15000	[42205, 41686, 47766, 29959, 27355]	[28675, 36068, 15689, 6773, 51274, 8418, 12202, 37299, 44921, 7100, 32770, 25924, 17406, 43077, 55910, 50915, 14816, 13903, 23605, 6625, 6622, 52060, 6795, 23660, 39190, 26977, 47349, 4227]	4	(392, 207, 60, 60)	60	60	(332, 147, 512, 327)	20418	True	49519	60	10	10	392	207
56995	200	Fish	15005	False		18381	(57, 76, 185)	15000	[7984]	[58637, 31632, 19078, 26567, 1413, 3695, 3014, 15655, 19633, 33566, 23878, 37756, 40334, 966, 35335, 6806, 40906, 33753, 41536, 41524, 16466, 33331, 28902, 7100, 29822, 25924, 7536]	1	(733, 454, 60, 60)	60	60	(673, 394, 853, 574)		True	56995	60	10	10	733	454
14135	200	Fish	15005	False	56995,	36170	(7, 93, 49)	15000	[29799]	[58637, 31632, 19078, 26567, 1413, 3695, 3014, 15655, 19633, 33566, 23878, 37756, 40334, 966, 35335, 6806, 40906, 33753, 41536, 41524, 16466, 33331, 28902, 7100, 29822, 25924, 7536]	2	(733, 454, 60, 60)	60	60	(673, 394, 853, 574)	56995	True	14135	60	10	10	733	454
32022	200	Fish	15005	False	56995,14135,	38482	(229, 131, 196)	15000	[14867]	[58637, 31632, 19078, 26567, 1413, 3695, 3014, 15655, 19633, 33566, 23878, 37756, 40334, 966, 35335, 6806, 40906, 33753, 41536, 41524, 16466, 33331, 28902, 7100, 29822, 25924, 7536]	3	(733, 454, 60, 60)	60	60	(673, 394, 853, 574)	14135	True	32022	60	10	10	733	454
24459	200	Fish	15005	False	56995,14135,32022,	39675	(160, 120, 115)	15000	[60889, 13679]	[58637, 31632, 26567, 1413, 3695, 3014, 15655, 19633, 33566, 23878, 37756, 40334, 966, 35335, 6806, 33753, 41536, 16466, 33331, 28902, 7100, 29822, 25924, 7536]	4	(733, 454, 60, 60)	60	60	(673, 394, 853, 574)	32022	True	24459	60	10	10	733	454
